tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N101DQ,2020,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N101DU,2018,NA,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N101HQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N101NN,2013,NA,AIRBUS INDUSTRIE,A321-231,2,379,NA,Turbo-fan
N102DN,2020,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N102DU,NA,NA,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N102HQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N102NN,2013,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N102UW,1998,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N103DU,NA,NA,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N103DY,2020,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N103HQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N103NN,2013,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N103SY,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N103US,1999,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N104DN,NA,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N104DU,NA,NA,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N104HQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N104NN,2013,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N104UW,1999,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N105DU,2019,NA,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N105DX,2020,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N105HQ,2007,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N105NN,2013,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N105SY,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N105UW,1999,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N106DN,2020,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N106DU,2019,NA,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N106HQ,2007,NA,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N106NN,2014,NA,AIRBUS INDUSTRIE,A321-231,2,379,NA,Turbo-fan
N106SY,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N107DN,2020,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N107DU,2019,NA,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N107HQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N107NN,2014,NA,AIRBUS INDUSTRIE,A321-231,2,379,NA,Turbo-fan
N107SY,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N107US,1999,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N108DN,NA,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N108DQ,NA,NA,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N108HQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N108NN,2014,NA,AIRBUS INDUSTRIE,A321-231,2,379,NA,Turbo-fan
N108SY,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N108UW,1999,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N109DN,NA,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N109DU,2019,NA,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N109HQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N109NN,2014,NA,AIRBUS INDUSTRIE,A321-231,2,379,NA,Turbo-fan
N109SY,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N109UW,1999,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N110AN,2014,NA,AIRBUS INDUSTRIE,A321-231,2,379,NA,Turbo-fan
N110DU,2019,NA,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2,133,NA,Turbo-fan
N110DX,2021,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N110HQ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N110SY,2014,NA,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
